Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Lattitude,Longitude,Name of Road,HOSPITAL NEAR LATITUDE,HOSPITAL NEAR LONGITUDE,Accident Severity Index,Type of Road,Number of Fatalities,Sum of Fatal & Grievous Injury Crashes
79,Alappuzha,Harippad,50m before SBI ATM - 180m before Karthikapally CARD BANK,"Danapady Junction, Haripad",9.283973982,76.44075662,National Highway 66 (NH 66),9.283176771,76.4427827,156,NH,10,40
80,Thrissur,KORATTI,Ottupura Clay House- New Narasimhamoorthy Temple,Muringoor,10.28606077,76.34188217,National Highway 544 (NH - 544),10.29658493,76.33661731,155,NH,7,45
81,Kottayam,Changanassery,80m after Divine Nagar Road Junction - 150m before SBI ATM,Valiyakulam,10.30185188,76.33723147,Karukachal - Changassery Road,10.30151586,76.33949526,155,OR,8,41
82,Ernakulam,Traffic East PS,Kundanoor Service Road Junction- Nettoor Jn,Kundannoor Bridge,9.93507476,76.31779341,National Highway 66 (NH 66),9.937648265,76.32253778,154,NH,1,50
83,Kollam,TRAFFIC PS QUILON,"120m before Canara Bank, Thattamala - KTM Showroom",Thattamala,8.870638103,76.64075462,National Highway 66 (NH 66),8.875661479,76.64388275,154,NH,4,46
84,Alappuzha,Ambalapuzha,BKM Hospital - 50m after Payalkulangara Sree Devi Temple,Near Ambalappuzha Junction,9.376313791,76.358168,National Highway 66 (NH 66),9.383177767,76.35322007,153,NH,6,43
85,Kottayam,TRAFFIC PS KOTTAYA,Supreme Computer Systems - Eranjal Road Junction,Kanjikuzhy,9.588644027,76.53817746,National Highway 183 (NH 183),9.590657045,76.52605353,152,NH,2,48
86,Kottayam,CHANGANASSERY,Mulamoottil Gold Loan - Maruthi Suzuki Servicing Center,Thuruthy,9.486707499,76.52516161,Main Central Road (SH 1),9.481275274,76.51431095,151,SH,11,37
87,Thiruvananthapuram,CITY TRAFFIC,New Rajasthan Marbles - Aryankuzhy Kamaleswaram Road Junction,Muttathara,8.479904152,76.93414496,National Highway 66 Bypass (NH 6,8.48746179,76.92688718,150,NH,3,46
88,Alappuzha,Aroor,Road,Chandiroor,9.834629564,76.3094248,National Highway 66 (NH 66),9.850611648,76.30749749,150,NH,11,38
89,Kollam,TRAFFIC PS QUILON,110m after Asramam Masjid - 60m after Uliyakovil Road Junction,Asramam,8.895850552,76.59326884,Asramam Road,8.89033102,76.59801976,149,OR,5,43
90,Thrissur,Traffic Thrissur,150m before Sakthan Thampuran Bus Stand- 150m after DENA Bank,Sakthan Thampuran Round About,10.51478509,76.21579783,Municipal Office Road,10.50282348,76.21106369,149,OR,5,43
91,Kottayam,Ettumanoor,Pandarakalam Finance Private Ltd - State Bank of India,Athirampuzha,9.668678301,76.53933609,Ettumaanoor - Athirampuzha Road,9.649444154,76.54954487,148,OR,4,44
92,Malappuram,THIROOR,SBI Thazhepalam - IndusIND Bank,Chembra,10.9141201,75.91905849,State Highway 71 (SH 71),10.91245031,75.92244542,148,SH,4,44
93,Thiruvananthapuram,City Traffic,Chaitanya Eye Hospital - St Mary's School,Keasavadaspuram,9.384561099,76.58851703,National Highway 66 (NH 66),9.386775228,76.58112858,148,NH,4,44
